69620,대웅제약,의약품,1,124500,2019-01-28
10060,OCI,화학,2,59200,2019-01-28
4370,농심,음식료업,2,231000,2019-01-28
214320,이노션,서비스업,0,69200,2019-01-28
9420,한올바이오파마,의약품,1,26900,2019-01-28
111770,영원무역,유통업,2,30950,2019-01-28
6260,LS,금융업,0,41900,2019-01-28
11210,현대위아,운수장비,2,53100,2019-01-28
990,DB하이텍,전기전자,1,29800,2019-01-28
14680,한솔케미칼,화학,1,114000,2019-01-28
64350,현대로템,운수장비,2,15000,2019-01-28
1740,SK네트웍스,유통업,2,5070,2019-01-28
240,한국테크놀로지그룹,금융업,2,13350,2019-01-28
34020,두산중공업,기계,2,6220,2019-01-28
120110,코오롱인더,화학,2,44050,2019-01-28
114090,GKL,서비스업,2,18850,2019-01-28
670,영풍,철강금속,2,633000,2019-01-28
73240,금호타이어,화학,2,3905,2019-01-28
150,두산,서비스업,2,64900,2019-01-28
3520,영진약품,의약품,1,6010,2019-01-28
3240,태광산업,화학,2,943000,2019-01-28
42670,두산인프라코어,기계,2,4975,2019-01-28
4000,롯데정밀화학,화학,1,39600,2019-01-28
185750,종근당,의약품,1,94500,2019-01-28
161890,한국콜마,화학,1,44750,2019-01-28
5440,현대그린푸드,유통업,2,10350,2019-01-28
294870,HDC현대산업개발,건설업,1,22650,2019-01-28
1800,오리온홀딩스,금융업,2,16000,2019-01-28
5300,롯데칠성,음식료업,2,124000,2019-01-28
5250,녹십자홀딩스,서비스업,0,21650,2019-01-28
57050,현대홈쇼핑,유통업,2,75700,2019-01-28
3000,부광약품,의약품,2,14400,2019-01-28
10780,아이에스동서,비금속광물,2,29350,2019-01-28
5850,에스엘,운수장비,2,18200,2019-01-28
18250,애경산업,화학,1,29300,2019-01-28
93370,후성,화학,1,8530,2019-01-28
170900,동아에스티,의약품,1,97400,2019-01-28
2350,넥센타이어,화학,2,8190,2019-01-28
69260,휴켐스,화학,1,19150,2019-01-28
115390,락앤락,화학,2,14950,2019-01-28
52690,한전기술,서비스업,0,21250,2019-01-28
192400,쿠쿠홀딩스,금융업,2,105500,2019-01-28
8060,대덕전자,전기전자,1,9660,2019-01-28
192820,코스맥스,화학,2,74700,2019-01-28
1680,대상,음식료업,2,21400,2019-01-28
285130,SK케미칼,화학,1,64100,2019-01-28
20000,한섬,섬유의복,2,29500,2019-01-28
5610,SPC삼립,음식료업,2,79800,2019-01-28
14820,동원시스템즈,화학,2,26800,2019-01-28
6650,대한유화,화학,2,100500,2019-01-28
79550,LIG넥스원,기계,2,29050,2019-01-28
3850,보령제약,의약품,1,14400,2019-01-28
71840,롯데하이마트,유통업,2,26300,2019-01-28
12630,HDC,금융업,2,10400,2019-01-28
1060,JW중외제약,의약품,2,32150,2019-01-28
105630,한세실업,섬유의복,2,15500,2019-01-28
103140,풍산,철강금속,2,21500,2019-01-28
79160,CJ CGV,서비스업,2,28250,2019-01-28
640,동아쏘시오홀딩스,금융업,2,97000,2019-01-28
5180,빙그레,음식료업,2,52900,2019-01-28
27410,BGF,금융업,2,5280,2019-01-28
1120,LG상사,유통업,2,13200,2019-01-28
6390,한일현대시멘트,비금속광물,0,29700,2019-01-28
70,삼양홀딩스,금융업,2,58000,2019-01-28
19680,대교,서비스업,2,5840,2019-01-28
1430,세아베스틸,철강금속,1,13650,2019-01-28
7570,일양약품,의약품,2,27750,2019-01-28
4490,세방전지,전기전자,2,34100,2019-01-28
1230,동국제강,철강금속,2,5020,2019-01-28
6120,SK디스커버리,금융업,2,24700,2019-01-28
93050,LF,섬유의복,2,15800,2019-01-28
60980,한라홀딩스,금융업,2,44500,2019-01-28
145990,삼양사,음식료업,2,44350,2019-01-28
108670,LG하우시스,화학,2,49000,2019-01-28
25540,한국단자,전기전자,2,42250,2019-01-28
2270,롯데푸드,음식료업,2,375500,2019-01-28
6840,AK홀딩스,금융업,2,30700,2019-01-28
2960,한국쉘석유,화학,2,304000,2019-01-28
25860,남해화학,화학,0,7860,2019-01-28
14830,유니드,화학,1,44100,2019-01-28
96760,JW홀딩스,금융업,0,5990,2019-01-28
2240,고려제강,철강금속,2,18950,2019-01-28
3620,쌍용차,운수장비,2,2025,2019-01-28
3920,남양유업,음식료업,2,413500,2019-01-28
1520,동양,비금속광물,2,1165,2019-01-28
79430,현대리바트,중형주,2,12050,2019-01-28
298040,효성중공업,전기전자,1,23750,2019-01-28
